Week,Game,Team 1, Team 2, Court 1, Court 2
7,3,40,10,19,20
7,3,38,23,39,40
7,3,3,39,7,8
7,3,20,31,13,14
7,3,8,16,35,36
7,3,17,1,11,12
7,3,19,36,1,2
7,3,27,37,17,18
7,3,21,14,29,30
7,3,25,15,15,16
7,3,32,5,9,10
