Team#,Match1,Match2,Match3
 6, 4    , 39&40 , 7&8 , 5&6 
 6, 5    , 37&38 , 11&12 , 23&24 
 6, 6    , 31&32 , 27&28 , 43&44 
 6, 7    , 29&30 , 19&20 , 35&36 
 6, 8    , 7&8 , 37&38 , 15&16 
 6, 9    , 13&14 , 43&44 , 31&32 
 6, 10   , 27&28 , 23&24 , 19&20 
 6, 11   , 17&18 , 15&16 , 3&4 
 6, 12   , 9&10 , 31&32 , 19&20 
 6, 13   , 31&32 , 1&2 , 13&14 
 6, 14   , 13&14 , 35&36 , 35&36 
 6, 15   , 5&6 , 11&12 , 9&10 
 6, 16   , 39&40 , 41&42 , 27&28 
 6, 17   , 5&6 , 33&34 , 41&42 
 6, 18   , 43&44 , 15&16 , 25&26 
 6, 19   , 11&12 , 7&8 , 17&18 
 6, 20   , 9&10 , 21&22 , 25&26 
 6, 21   , 19&20 , 39&40 , 21&22 
 6, 22   , 1&2 , 31&32 , 33&34 
 6, 23   , 23&24 , 39&40 , 7&8 
 6, 24   , 27&28 , 43&44 , 29&30 
 6, 25   , 17&18 , 1&2 , 33&34 
 6, 26   , 29&30 , 17&18 , 39&40 
 6, 27   , 41&42 , 9&10 , 3&4 
 6, 28   , 25&26 , 29&30 , 7&8 
 6, 29   , 33&34 , 13&14 , 37&38 
 6, 30   , 11&12 , 3&4 , 27&28 
 6, 31   , 37&38 , 9&10 , 13&14 
 6, 32   , 33&34 , 17&18 , 43&44 
 6, 33   , 3&4 , 23&24 , 11&12 
 6, 34   , 35&36 , 19&20 , 5&6 
 6, 35   , 23&24 , 5&6 , 39&40 
 6, 36   , 43&44 , 3&4 , 17&18 
 6, 37   , 15&16 , 41&42 , 21&22 
 6, 38   , 7&8 , 5&6 , 37&38 
 6, 39   , 15&16 , 37&38 , 11&12 
 6, 40   , 21&22 , 25&26 , 31&32 
 6, 41   , 35&36 , 21&22 , 9&10 
 6, 42   , 3&4 , 27&28 , 1&2 
 6, 43   , 21&22 , 35&36 , 41&42 
 6, 44   , 41&42 , 29&30 , 15&16 
 7, 1    , 33&34 , 3&4 , 11&12 
 7, 2    , 35&36 , 41&42 , 33&34 
 7, 3    , 5&6 , 17&18 , 19&20 
 7, 4    , 11&12 , 39&40 , 37&38 
 7, 5    , 15&16 , 5&6 , 13&14 
 7, 6    , 7&8 , 29&30 , 19&20 
 7, 7    , 13&14 , 39&40 , 11&12 
 7, 8    , 37&38 , 27&28 , 31&32 
 7, 9    , 43&44 , 31&32 , 41&42 
 7, 10   , 15&16 , 9&10 , 39&40 
 7, 11   , 21&22 , 19&20 , 3&4 
 7, 12   , 31&32 , 19&20 , 43&44 
 7, 13   , 41&42 , 9&10 , 27&28 
 7, 14   , 19&20 , 25&26 , 23&24 
 7, 15   , 9&10 , 21&22 , 7&8 
 7, 16   , 13&14 , 23&24 , 25&26 
 7, 17   , 23&24 , 35&36 , 29&30 
 7, 18   , 39&40 , 35&36 , 5&6 
 7, 19   , 1&2 , 41&42 , 21&22 
 7, 20   , 23&24 , 13&14 , 1&2 
 7, 21   , 19&20 , 1&2 , 3&4 
 7, 22   , 17&18 , 37&38 , 33&34 
 7, 23   , 9&10 , 7&8 , 27&28 
 7, 24   , 41&42 , 43&44 , 5&6 
 7, 25   , 3&4 , 25&26 , 15&16 
 7, 26   , 39&40 , 31&32 , 23&24 
 7, 27   , 11&12 , 21&22 , 25&26 
 7, 28   , 29&30 , 11&12 , 15&16 
 7, 29   , 21&22 , 27&28 , 17&18 
 7, 30   , 25&26 , 43&44 , 7&8 
 7, 31   , 27&28 , 29&30 , 31&32 
 7, 32   , 37&38 , 17&18 , 35&36 
 7, 33   , 7&8 , 33&34 , 13&14 
 7, 34   , 31&32 , 23&24 , 35&36 
 7, 35   , 29&30 , 15&16 , 41&42 
 7, 36   , 17&18 , 1&2 , 39&40 
 7, 37   , 43&44 , 5&6 , 9&10 
 7, 38   , 25&26 , 37&38 , 43&44 
 7, 39   , 35&36 , 13&14 , 1&2 
 7, 40   , 27&28 , 11&12 , 9&10 
 7, 41   , 33&34 , 7&8 , 29&30 
 7, 42   , 5&6 , 15&16 , 37&38 
 7, 43   , 3&4 , 33&34 , 21&22 
 7, 44   , 1&2 , 3&4 , 17&18 
 
